Cereal,Company,Protein,Carbs,Sugar,Calories
Puffed Wheat,Q,2,10.0,0,50
Puffed Rice,Q,1,13.0,0,50
All-Bran with Extra Fiber,K,4,8.0,0,50
All-Bran,K,4,7.0,5,70
100% Bran,N,4,5.0,6,70
Shredded Wheat,N,2,16.0,0,80
Shredded Wheat 'n'Bran,N,3,19.0,0,90
Raisin Squares,K,2,15.0,6,90
Nutri-grain Wheat,K,3,18.0,2,90
Strawberry Fruit Wheats,N,2,15.0,5,90
Bran Flakes,P,3,13.0,5,90
Cream of Wheat (Quick),N,3,21.0,0,100
Maypo,A,4,16.0,3,100
Raisin Nut Bran,G,3,10.5,8,100
Multi-Grain Cheerios,G,2,15.0,6,100
Crispy Wheat & Raisins,G,2,11.0,10,100
Frosted Mini-Wheats,K,3,14.0,7,100
Corn Flakes,K,2,21.0,2,100
Grape Nuts Flakes,P,3,15.0,5,100
Golden Crisp,P,2,11.0,15,100
Quaker Oat Squares,Q,4,14.0,6,100
Life,Q,4,12.0,6,100
Wheat Chex,R,3,17.0,3,100
Double Chex,R,2,18.0,5,100
Total Whole Grain,G,3,16.0,3,100
Product 19,K,3,20.0,3,100
Wheaties Honey Gold,G,2,16.0,8,110
Trix,G,1,13.0,12,110
Triples,G,2,21.0,3,110
Lucky Charms,G,2,12.0,12,110
Kix,G,2,21.0,3,110
Honey Nut Cheerios,G,3,11.5,10,110
Golden Grahams,G,1,15.0,9,110
Count Chocula,G,1,12.0,13,110
Cocoa Puffs,G,1,12.0,13,110
Clusters,G,3,13.0,7,110
Cheerios,G,6,17.0,1,110
Apple Cinnamon Cheerios,G,2,10.5,10,110
Special K,K,6,16.0,3,110
Rice Krispies,K,2,22.0,3,110
Frosted Flakes,K,1,14.0,11,110
Froot Loops,K,2,11.0,13,110
Crispix,K,2,21.0,3,110
Cracklin' Oat Bran,K,3,10.0,7,110
Corn Pops,K,1,13.0,12,110
Apple Jacks,K,2,11.0,14,110
Honey-comb,P,1,14.0,11,110
Grape-Nuts,P,3,17.0,3,110
Fruity Pebbles,P,1,13.0,12,110
Rice Chex,R,1,23.0,2,110
Corn Chex,R,2,22.0,3,110
Almond Delight,R,2,14.0,8,110
Total Corn Flakes,G,2,21.0,3,110
Just Right Crunchy  Nuggets,K,2,17.0,6,110
100% Natural Bran,Q,3,8.0,8,120
Cinnamon Toast Crunch,G,1,13.0,9,120
Raisin Bran,K,3,14.0,12,120
Nut&Honey Crunch,K,2,15.0,9,120
Fruitful Bran,K,3,14.0,12,120
Post Nat. Raisin Bran,P,3,11.0,14,120
Great Grains Pecan,P,3,13.0,4,120
Fruit & Fibre Dates,P,3,12.0,10,120
Cap'n'Crunch,Q,1,12.0,12,120
Oatmeal Raisin Crisp,G,3,13.5,10,130
Basic 4,G,3,18.0,8,130
Nutri-Grain Almond-Raisin,K,3,21.0,7,140
Total Raisin Bran,G,3,15.0,14,140
Just Right Fruit & Nut,K,3,20.0,9,140
"Muesli Raisins, Peaches, & Pecans",R,4,16.0,11,150
"Muesli Raisins, Dates, & Almonds",R,4,16.0,11,150
Mueslix Crispy Blend,K,3,17.0,13,160
